ID_Konten,Season,No_Urut,Judul_Episode,Sinopsis
SE-001,1,1,S1 E1 | Nada Hilang: Misi Membuat,"Di episode ini, Musisi Jazz harus membuat keputusan drastis ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-001,1,2,S1 E2 | Nada Hilang: Misi Mengalahkan,"Di episode ini, Penyanyi Utama harus mengambil risiko besar ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-001,1,3,S1 E3 | Penebusan: Misi Mengalahkan,"Di episode ini, Mentor Tua harus menyelesaikan misi mustahil ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-001,1,4,S1 E4 | Panggung Terakhir: Misi Mengamankan,"Di episode ini, Musisi Jazz harus mengambil risiko besar ketika sebuah artefak kuno diaktifkan yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-001,1,5,S1 E5 | Penebusan: Misi Memenangkan,"Di episode ini, Penyanyi Utama harus merayakan kemenangan kecil ketika seorang juri diculik yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-001,1,6,S1 E6 | Penebusan: Misi Mengamankan,"Di episode ini, Mentor Tua harus merayakan kemenangan kecil ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-001,1,7,S1 E7 | Nada Hilang: Misi Mengekspos,"Di episode ini, Musisi Jazz harus mengambil risiko besar ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-001,1,8,S1 E8 | Kecanduan: Misi Membuktikan,"Di episode ini, Penyanyi Utama harus merayakan kemenangan kecil ketika musisi diancam kecanduan yang kambuh yang tiba-tiba membuka portal ke dimensi asing."
SE-001,2,1,S2 E1 | Kecanduan: Misi Memenangkan,"Di episode ini, Mentor Tua harus mencari kebenaran yang hilang ketika sebuah artefak kuno diaktifkan yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-001,2,2,S2 E2 | Nada Hilang: Misi Mengambil,"Di episode ini, Musisi Jazz harus mengekspos pengkhianatan ketika seorang juri diculik yang tiba-tiba membuka portal ke dimensi asing."
SE-001,2,3,S2 E3 | Panggung Terakhir: Misi Mengalahkan,"Di episode ini, Penyanyi Utama harus mengambil risiko besar ketika sumber daya musik utama terputus yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-001,2,4,S2 E4 | Kecanduan: Misi Mengamankan,"Di episode ini, Mentor Tua harus memenangkan pertarungan hukum ketika sumber daya musik utama terputus yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-001,2,5,S2 E5 | Panggung Terakhir: Misi Melindungi,"Di episode ini, Musisi Jazz harus membuat keputusan drastis ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba membuka portal ke dimensi asing."
SE-001,2,6,S2 E6 | Nada Hilang: Misi Mengamankan,"Di episode ini, Penyanyi Utama harus mengambil risiko besar ketika sumber daya musik utama terputus yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-001,2,7,S2 E7 | Penebusan: Misi Menghadapi,"Di episode ini, Mentor Tua harus memenangkan pertarungan hukum ketika salah satu keluarga ditangkap FBI yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-001,2,8,S2 E8 | Nada Hilang: Misi Menyelesaikan,"Di episode ini, Musisi Jazz harus menghadapi dilema moral ketika salah satu keluarga ditangkap FBI yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,1,1,S1 E1 | Krisis Kantor: Misi Mengalahkan,"Di episode ini, Produser Alec harus merayakan kemenangan kecil ketika salah satu keluarga ditangkap FBI yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-002,1,2,S1 E2 | Krisis Kantor: Misi Membuktikan,"Di episode ini, Penulis Utama harus merayakan kemenangan kecil ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,1,3,S1 E3 | Sketsa Aneh: Misi Merayakan,"Di episode ini, Karyawan Senior harus membuat keputusan drastis ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-002,1,4,S1 E4 | Krisis Kantor: Misi Mengambil,"Di episode ini, Produser Alec harus menyelesaikan misi mustahil ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba membuat Pengendali Elemen kehilangan kekuatan mereka."
SE-002,1,5,S1 E5 | Sketsa Aneh: Misi Mencari,"Di episode ini, Penulis Utama harus mengambil risiko besar ketika sebuah artefak kuno diaktifkan yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,1,6,S1 E6 | Produser Gila: Misi Menghadapi,"Di episode ini, Karyawan Senior harus mengekspos pengkhianatan ketika data historis diakses tanpa izin yang tiba-tiba memecah belah aliansi yang rapuh."
SE-002,1,7,S1 E7 | Krisis Kantor: Misi Merayakan,"Di episode ini, Produser Alec harus mencari kebenaran yang hilang ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-002,1,8,S1 E8 | Rating Anjlok: Misi Melindungi,"Di episode ini, Penulis Utama harus merayakan kemenangan kecil ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mengungkapkan lokasi markas rahasia."
SE-002,2,1,S2 E1 | Krisis Kantor: Misi Memenangkan,"Di episode ini, Karyawan Senior harus membuktikan konspirasi ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,2,2,S2 E2 | Krisis Kantor: Misi Mengamankan,"Di episode ini, Produser Alec harus mengekspos pengkhianatan ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,2,3,S2 E3 | Sketsa Aneh: Misi Menyelesaikan,"Di episode ini, Penulis Utama harus mengambil risiko besar ketika data historis diakses tanpa izin yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,2,4,S2 E4 | Krisis Kantor: Misi Mencari,"Di episode ini, Karyawan Senior harus mengalahkan musuh lama ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba membuka portal ke dimensi asing."
SE-002,2,5,S2 E5 | Krisis Kantor: Misi Menyelesaikan,"Di episode ini, Produser Alec harus memenangkan pertarungan hukum ketika peraturan baru jaringan TV diterapkan yang tiba-tiba membuka portal ke dimensi asing."
SE-002,2,6,S2 E6 | Sketsa Aneh: Misi Mengamankan,"Di episode ini, Penulis Utama harus menyelesaikan misi mustahil ketika sistem pertahanan koloni gagal total yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-002,2,7,S2 E7 | Produser Gila: Misi Menyelesaikan,"Di episode ini, Karyawan Senior harus memenangkan pertarungan hukum ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-002,2,8,S2 E8 | Produser Gila: Misi Mengalahkan,"Di episode ini, Produser Alec harus membuktikan konspirasi ketika seorang juri diculik yang tiba-tiba membuka portal ke dimensi asing."
SE-002,3,1,S3 E1 | Rating Anjlok: Misi Mengambil,"Di episode ini, Penulis Utama harus melindungi sekutu terdekat ketika data historis diakses tanpa izin yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-002,3,2,S3 E2 | Rating Anjlok: Misi Membuktikan,"Di episode ini, Karyawan Senior harus mengalahkan musuh lama ketika sistem pertahanan koloni gagal total yang tiba-tiba mengharuskan mereka melakukan perjalanan waktu segera."
SE-002,3,3,S3 E3 | Sketsa Aneh: Misi Membuktikan,"Di episode ini, Produser Alec harus menyelesaikan misi mustahil ketika sumber daya musik utama terputus yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,3,4,S3 E4 | Produser Gila: Misi Menghadapi,"Di episode ini, Penulis Utama harus mengamankan sumber daya vital ketika peraturan baru jaringan TV diterapkan yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-002,3,5,S3 E5 | Produser Gila: Misi Merayakan,"Di episode ini, Karyawan Senior harus menghadapi dilema moral ketika sumber daya musik utama terputus yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-002,3,6,S3 E6 | Krisis Kantor: Misi Membuat,"Di episode ini, Produser Alec harus memenangkan pertarungan hukum ketika sebuah artefak kuno diaktifkan yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-002,3,7,S3 E7 | Produser Gila: Misi Mengekspos,"Di episode ini, Penulis Utama harus mengamankan sumber daya vital ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mempertaruhkan nyawa seluruh anggota tim."
SE-002,3,8,S3 E8 | Rating Anjlok: Misi Mengambil,"Di episode ini, Karyawan Senior harus membuat keputusan drastis ketika seorang juri diculik yang tiba-tiba memecah belah aliansi yang rapuh."
SE-003,1,1,S1 E1 | Pengkhianatan: Misi Mengamankan,"Di episode ini, Agen Rahasia X harus memenangkan pertarungan hukum ketika data historis diakses tanpa izin yang tiba-tiba mengubah masa depan proyek secara permanen."
SE-003,1,2,S1 E2 | Organisasi Ganda: Misi Membuktikan,"Di episode ini, Mata-Mata Ganda harus menghadapi dilema moral ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-003,1,3,S1 E3 | Pengkhianatan: Misi Membuktikan,"Di episode ini, Pakar Cipher harus membuktikan konspirasi ketika seorang juri diculik yang tiba-tiba memecah belah aliansi yang rapuh."
SE-003,1,4,S1 E4 | Pengkhianatan: Misi Mengekspos,"Di episode ini, Agen Rahasia X harus mengambil risiko besar ketika sebuah pesan terenkripsi terungkap yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-003,1,5,S1 E5 | Pengkhianatan: Misi Membuktikan,"Di episode ini, Mata-Mata Ganda harus mengamankan sumber daya vital ketika salah satu keluarga ditangkap FBI yang tiba-tiba membuka portal ke dimensi asing."
SE-003,1,6,S1 E6 | Artefak Terlarang: Misi Mengambil,"Di episode ini, Pakar Cipher harus membuat keputusan drastis ketika musisi diancam kecanduan yang kambuh yang tiba-tiba membuka portal ke dimensi asing."
SE-003,1,7,S1 E7 | Organisasi Ganda: Misi Mencari,"Di episode ini, Agen Rahasia X harus menghadapi dilema moral ketika seorang tokoh kunci menghilang tanpa jejak yang tiba-tiba membuka portal ke dimensi asing."
SE-003,1,8,S1 E8 | Organisasi Ganda: Misi Menyelesaikan,"Di episode ini, Mata-Mata Ganda harus mengalahkan musuh lama ketika musisi diancam kecanduan yang kambuh yang tiba-tiba mengakibatkan eliminasi kontestan favorit."
SE-003,2,1,S2 E1 | Cipher Kuno: Misi Menghadapi,"Di episode ini, Pakar Cipher harus memenangkan pertarungan hukum ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba membuka portal ke dimensi asing."
SE-003,2,2,S2 E2 | Artefak Terlarang: Misi Mencari,"Di episode ini, Agen Rahasia X harus mengalahkan musuh lama ketika sistem pertahanan koloni gagal total yang tiba-tiba memaksanya berhadapan dengan mentor yang korup."
SE-003,2,3,S2 E3 | Organisasi Ganda: Misi Melindungi,"Di episode ini, Mata-Mata Ganda harus membuat keputusan drastis ketika sistem pertahanan koloni gagal total yang tiba-tiba menarik perhatian Sindikat Gelap."
SE-003,2,4,S2 E4 | Pengkhianatan: Misi Mengalahkan,"Di episode ini, Pakar Cipher harus mengekspos pengkhianatan ketika protagonis bertemu versi dirinya dari masa depan yang tiba-tiba menyebabkan kerugian finansial yang tak terpulihkan."
SE-003,2,5,S2 E5 | Pengkhianatan: Misi Mengambil,"Di episode ini, Agen Rahasia X harus memenangkan pertarungan hukum ketika perusahaan menghadapi tuntutan hukum mendadak yang tiba-tiba mengungkapkan lokasi markas rahasia."
