ID_Konten,Season,No_Urut,Judul_Episode,Sinopsis
SE-001,1,1,Misi Mencari nada Diskriminasi,"Di episode musim 1, protagonis berjuang melawan klub jazz rahasia, namun mereka dihadapkan pada Nada Hilang. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,1,2,Rahasia Nada Hilang dari ruang rehabilitasi,"Di episode musim 1, protagonis meraih kembali panggung klub jazz rahasia, namun mereka dihadapkan pada Melodi Lama. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,1,3,Misi Meraih kembali panggung Melodi Lama,"Di episode musim 1, protagonis meraih kembali panggung ruang rehabilitasi, namun mereka dihadapkan pada Nada Hilang. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,1,4,Rahasia Improvisasi dari ruang rehabilitasi,"Di episode musim 1, protagonis meraih kembali panggung klub jazz rahasia, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,1,5,Babak 5.1: Diskriminasi terakhir,"Di episode musim 1, protagonis berjuang melawan ruang rehabilitasi, namun mereka dihadapkan pada Penebusan. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,1,6,Parade Panggung Terakhir tanpa Diskriminasi,"Di episode musim 1, protagonis menghadapi masa lalu studio rekaman tua, namun mereka dihadapkan pada Nada Hilang. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,2,1,Babak 1.2: Kecanduan terakhir,"Di episode musim 2, tim menghadapi masa lalu ruang rehabilitasi, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,2,2,Parade Melodi Lama vs Penebusan,"Di episode musim 2, tim meraih kembali panggung studio rekaman tua, namun mereka dihadapkan pada Improvisasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,2,3,Babak 3.2: Nada Hilang terakhir,"Di episode musim 2, protagonis berjuang melawan studio rekaman tua, namun mereka dihadapkan pada Nada Hilang. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,2,4,Parade Improvisasi vs Diskriminasi,"Di episode musim 2, protagonis meraih kembali panggung studio rekaman tua, namun mereka dihadapkan pada Penebusan. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengubah Penebusan sebelum terlambat."
SE-001,2,5,Misi Mencari nada Improvisasi,"Di episode musim 2, karakter utama menghadapi masa lalu studio rekaman tua, namun mereka dihadapkan pada Panggung Terakhir. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,2,6,S2 E6: Panggung Terakhir dan Berjuang melawan,"Di episode musim 2, karakter utama menghadapi masa lalu ruang rehabilitasi, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,3,1,Babak 1.3: Melodi Lama yang hilang,"Di episode musim 3, protagonis meraih kembali panggung ruang rehabilitasi, namun mereka dihadapkan pada Kecanduan. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengungkap Penebusan sebelum terlambat."
SE-001,3,2,Parade Melodi Lama di Diskriminasi,"Di episode musim 3, protagonis menghadapi masa lalu klub jazz rahasia, namun mereka dihadapkan pada Panggung Terakhir. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-001,3,3,Rahasia Improvisasi dari studio rekaman tua,"Di episode musim 3, tim meraih kembali panggung klub jazz rahasia, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera melarikan diri dari Penebusan sebelum terlambat."
SE-001,3,4,Babak 4.3: Melodi Lama terakhir,"Di episode musim 3, karakter utama berjuang melawan ruang rehabilitasi, namun mereka dihadapkan pada Melodi Lama. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-001,3,5,Misi Meraih kembali panggung Penebusan,"Di episode musim 3, karakter utama meraih kembali panggung ruang rehabilitasi, namun mereka dihadapkan pada Penebusan. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-001,3,6,Misi Berjuang melawan Improvisasi,"Di episode musim 3, tim meraih kembali panggung ruang rehabilitasi, namun mereka dihadapkan pada Improvisasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-001,4,1,S4 E1: Panggung Terakhir dan Meraih kembali panggung,"Di episode musim 4, tim menghadapi masa lalu klub jazz rahasia, namun mereka dihadapkan pada Nada Hilang. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengubah Penebusan sebelum terlambat."
SE-001,4,2,Rahasia Nada Hilang dari klub jazz rahasia,"Di episode musim 4, protagonis meraih kembali panggung klub jazz rahasia, namun mereka dihadapkan pada Panggung Terakhir. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengubah Penebusan sebelum terlambat."
SE-001,4,3,Misi Berjuang melawan Diskriminasi,"Di episode musim 4, karakter utama berjuang melawan klub jazz rahasia, namun mereka dihadapkan pada Penebusan. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera memulihkan Penebusan sebelum terlambat."
SE-001,4,4,Babak 4.4: Kecanduan yang hilang,"Di episode musim 4, protagonis berjuang melawan klub jazz rahasia, namun mereka dihadapkan pada Diskriminasi. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengubah Penebusan sebelum terlambat."
SE-001,4,5,S4 E5: Improvisasi dan Mencari nada,"Di episode musim 4, protagonis berjuang melawan klub jazz rahasia, namun mereka dihadapkan pada Panggung Terakhir. Kebenaran episode ini mengungkapkan bahwa Panggung Terakhir bertanggung jawab atas insiden Diskriminasi. Mereka harus segera mengubah Penebusan sebelum terlambat."
