ID_Konten,Season,No_Urut,Judul_Episode,Sinopsis
SE-001,1,1,Episode 1.1: Kecanduan Berakhirnya Penebusan,Saat karakter utama berjuang melawan studio rekaman tua mereka menemukan bahwa Melodi Lama. Plot twist terjadi ketika mencari nada Penebusan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,2,Diskriminasi dan Menghadapi masa lalu klub jazz rahasia,Saat tim berjuang melawan studio rekaman tua mereka menemukan bahwa Improvisasi. Plot twist terjadi ketika mencari nada Nada Hilang mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,3,Penebusan dan Berjuang melawan klub jazz rahasia,Saat karakter utama berjuang melawan ruang rehabilitasi mereka menemukan bahwa Melodi Lama. Plot twist terjadi ketika mencari nada Improvisasi mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,4,Penebusan dan Menghadapi masa lalu klub jazz rahasia,Saat tim berjuang melawan klub jazz rahasia mereka menemukan bahwa Panggung Terakhir. Plot twist terjadi ketika mencari nada Melodi Lama mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,5,Musim 1 | Kecanduan: Mencari nada,Saat pahlawan berjuang melawan klub jazz rahasia mereka menemukan bahwa Panggung Terakhir. Plot twist terjadi ketika mencari nada Melodi Lama mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,6,Jejak Penebusan yang Kecanduan,Saat karakter utama berjuang melawan klub jazz rahasia mereka menemukan bahwa Penebusan. Plot twist terjadi ketika mencari nada Penebusan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,7,Kecanduan dan Mencari nada klub jazz rahasia,Saat tim berjuang melawan klub jazz rahasia mereka menemukan bahwa Melodi Lama. Plot twist terjadi ketika mencari nada Panggung Terakhir mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,1,8,Nada Hilang dan Berjuang melawan klub jazz rahasia,Saat pahlawan berjuang melawan ruang rehabilitasi mereka menemukan bahwa Kecanduan. Plot twist terjadi ketika mencari nada Kecanduan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,1,Episode 1.2: Nada Hilang Melawan Melodi Lama,Saat tim berjuang melawan ruang rehabilitasi mereka menemukan bahwa Nada Hilang. Plot twist terjadi ketika mencari nada Nada Hilang mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,2,Jejak Diskriminasi dan Nada Hilang,Saat karakter utama berjuang melawan studio rekaman tua mereka menemukan bahwa Improvisasi. Plot twist terjadi ketika mencari nada Penebusan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,3,Jejak Improvisasi dan Diskriminasi,Saat tim berjuang melawan klub jazz rahasia mereka menemukan bahwa Improvisasi. Plot twist terjadi ketika mencari nada Penebusan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,4,Jejak Penebusan yang Nada Hilang,Saat tim berjuang melawan klub jazz rahasia mereka menemukan bahwa Panggung Terakhir. Plot twist terjadi ketika mencari nada Nada Hilang mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,5,Urutan 5 | Rahasia Panggung Terakhir,Saat karakter utama berjuang melawan ruang rehabilitasi mereka menemukan bahwa Panggung Terakhir. Plot twist terjadi ketika mencari nada Melodi Lama mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,6,Musim 2 | Panggung Terakhir: Berjuang melawan,Saat karakter utama berjuang melawan studio rekaman tua mereka menemukan bahwa Improvisasi. Plot twist terjadi ketika mencari nada Kecanduan mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
SE-001,2,7,Panggung Terakhir dan Berjuang melawan ruang rehabilitasi,Saat pahlawan berjuang melawan studio rekaman tua mereka menemukan bahwa Panggung Terakhir. Plot twist terjadi ketika mencari nada Melodi Lama mengancam Nada Hilang. Episode ini berfokus pada Diskriminasi.
